id,date,timeofday,LON,LAT,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding","direction 1=n, 2=s, 3=e, 4=w, 5=sw, 6=se, 7=nw, 8=ne","withmask 0=no, 1=yes","nomaskimpr 0=no mask or mask but incorrect, 1=mask and correct","maskreason 1=nose exposed, 2=nose and mouth exposed","maskother 1=exhalation valve or vent, 2=on forehead, 3=around neck, 4=touched mask, 5=<2 years of age, 6=in hand, 7=hanging on ear","socialdist 0=no, 1=yes","agegroup 1=<18, 2=18-30, 3=31-55, 4=>55","white 0=not white, 1=white","sex 1=male, 2=female","smoking 0= not smoking, 1=smoking","obese 0=not overweight/obese, 1=overweight/obese","touchsurface 0=no, 1=yes","surfacetype 1=trash can, 2=parking meter, 3=door handle, 4=railing, 5=auto, 6=building, 7=other, 8=bench, 9=phone, 11=tools, 12=table","Etiquette1 0=no hands to head, 1= hands to head"
4/24/1900,9/3/2020,112111,39.683407,-75.7475,2,4,1,1,0,0,0,2,1,2,0,1,0,0,0
4/25/1900,9/3/2020,112136,39.683376,-75.748,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0
4/26/1900,9/3/2020,112136,39.683386,-75.748,2,3,1,0,2,3,0,3,1,1,0,0,0,0,0
4/27/1900,9/3/2020,112144,39.683506,-75.7481,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
4/28/1900,9/3/2020,112144,39.68351,-75.748,2,3,1,1,0,0,0,2,1,2,0,0,0,0,0
4/29/1900,9/3/2020,112144,39.683517,-75.748,2,4,1,0,2,3,0,3,1,2,0,1,0,0,0
4/30/1900,9/3/2020,112225,39.683489,-75.7484,2,4,1,1,0,0,1,4,1,1,0,0,0,0,0
5/1/1900,9/3/2020,112225,39.683472,-75.7484,2,2,1,1,0,0,1,3,0,2,0,1,0,0,0
5/2/1900,9/3/2020,112252,39.683498,-75.7487,1,0,1,0,2,3,1,3,0,2,0,1,0,0,0
5/3/1900,9/3/2020,112252,39.683458,-75.7487,2,3,0,0,0,0,1,3,1,1,0,0,0,0,0
5/4/1900,9/3/2020,112304,39.683452,-75.7489,3,3,0,0,0,0,1,2,1,2,0,0,0,0,0
5/5/1900,9/3/2020,112312,39.683281,-75.7491,2,3,1,1,0,0,0,2,0,1,0,1,0,0,0
5/6/1900,9/3/2020,112312,39.683291,-75.7491,2,3,1,1,0,0,0,2,0,1,0,0,0,0,0
5/7/1900,9/3/2020,112312,39.683425,-75.7492,2,3,0,0,0,0,1,2,1,2,0,0,0,0,0
5/8/1900,9/3/2020,112328,39.683401,-75.7495,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
5/9/1900,9/3/2020,112336,39.683261,-75.7493,2,3,1,0,2,3,0,2,1,2,0,0,0,0,1
5/10/1900,9/3/2020,112336,39.683271,-75.7493,2,3,0,0,0,0,0,2,1,2,0,0,0,0,0
5/11/1900,9/3/2020,112336,39.68328,-75.7493,2,3,0,0,0,0,0,2,1,2,0,0,0,0,0
5/12/1900,9/3/2020,112349,39.683273,-75.7492,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0
5/13/1900,9/3/2020,112349,39.683283,-75.7492,2,3,0,0,0,0,0,2,1,2,0,0,0,0,0
5/14/1900,9/3/2020,112349,39.683288,-75.7492,2,3,0,0,0,0,0,3,1,1,0,1,0,0,0
5/15/1900,9/3/2020,112357,39.683255,-75.7495,2,3,0,0,0,0,1,2,1,2,0,0,0,0,0
5/16/1900,9/3/2020,112404,39.683381,-75.7498,2,3,1,1,0,0,1,2,1,1,0,0,0,0,0
5/17/1900,9/3/2020,112408,39.683216,-75.75,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
5/18/1900,9/3/2020,112414,39.683201,-75.7501,2,3,1,1,0,0,1,2,1,1,0,0,0,0,0
5/19/1900,9/3/2020,112415,39.68317,-75.75,2,8,0,0,0,0,1,3,1,1,0,0,0,0,0
